Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Type,Toe Shape,Fastening and Back Detail,Pattern,Occasion,Ornamentation,Ankle Height,Sole Material,Warranty
Mochi,Women Tan Brown Woven Design Open Toe Flats,₹1014,MRP ₹1690,(40% OFF),4.5,1.5k Ratings,"A pair of tan brown open-toed flats, has regular styling, no back strap detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Woven Design,Casual,,Regular,TPR,1 month
Metro,Women Ethnic Mojaris Flats,₹1374,MRP ₹2290,(40% OFF),4.1,15 Ratings,"A pair of taupe mojaris
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Mojaris,Round Toe,Slip-On,Solid,Ethnic,,Regular,Synthetic,1 month
Allen Solly,Women Black Solid Ballerinas,₹1679,MRP ₹1999,(16% OFF),4.2,182 Ratings,"A pair of black ballerinas
Upper Material: pu
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months
Warranty provided by brand owner/manufacturer",Ballerinas,Pointed Toe,Slip-On,Solid,Casual,Western - Embellished,Regular,TPR,6 months
Picktoes,Ethnic Embellished Pure Leather One Toe Flats,₹835,MRP ₹2199,(62% OFF),4.1,44 Ratings,"A pair of grey & brown one toe flats
Upper Material: pure leather
Cushioned footbed
Textured and patterned outsole",One Toe Flats,Open Toe,No Back Strap,Embellished,Ethnic,Ethnic - Embellished,Regular,Synthetic,
sneakers villa,Textured Leather Mules With Backstrap,₹899,MRP ₹999,(10% OFF),3.9,156 Ratings,"A pair of red mules
Upper Material: leather
Cushioned footbed
Textured and patterned outsole",Mules,Round Toe,Backstrap,Textured,Casual,,Regular,Leather,
Lavie,Women Embellished Pointed Toe Ballerinas,₹999,MRP ₹2499,(60% OFF),3.5,20 Ratings,"A pair of nude-coloured ballerinas
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand owner/manufacturer",Ballerinas,Pointed Toe,Slip-On,Colourblocked,Casual,,Regular,TPR,14 days
DressBerry,Women Grey Textured Open Toe Flats With Laser Cuts,₹799,MRP ₹1499,(Rs. 700 OFF),4.2,2.1k Ratings,"A pair of grey open toe flats
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Textured,Casual,Laser Cuts,Regular,PVC,1 month
Metro,Double Straps Open Toe Flats,₹1618,MRP ₹2490,(35% OFF),4.3,254 Ratings,"A pair of peach-coloured and beige double straps open toe flats
Upper material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,Buckles,Regular,Rubber,1 month
DressBerry,Studded Open Toe Flats,₹643,MRP ₹1399,(54% OFF),4.3,330 Ratings,"A pair of beige studded open toe flats
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,,Regular,TPR,
Shoetopia,Women Open Toe Flats,₹699,MRP ₹1999,(65% OFF),4.2,212 Ratings,"A pair of white open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,,Regular,TPR,
